id,address,area,bedrooms,bikeScore,datetime,distanceToNearestIntersection,geotag,has_image,has_map,name,postalCode,price,repost_of,sideOfStreet,transitScore,url,walkScore,where
6917628381,1212 E 93rd St,,2,59.0,2019-06-22 00:16,42.17033893853475,"[40.6407, -73.9028]",False,True,rooms for rent in a private house/ 2 aparts 4 rent @brighton 3rd place,11236-3929,$1250,6708405806,R,87.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-rooms-for-rent-in-private/6917628381.html,91.0,9713 farragut road/2960 brighton 3rd place
6913898914,14 Linden Pl,838ft2,1,65.0,2019-06-22 00:16,81.22465278646109,"[41.0602, -73.5445]",True,True,make postmark your home this summer! stamford - harbor point,06902-2305,$2765,,L,,https://newyork.craigslist.org/fct/abo/d/stamford-make-postmark-your-home-this/6913898914.html,88.0,
6917668914,660 Carroll St,1300ft2,2,91.0,2019-06-22 00:15,132.3142202445252,"[40.67448, -73.98038]",True,True,"brownstone full of character!livingroom & dining room, same price",11215-2010,$3550,,R,100.0,https://newyork.craigslist.org/brk/fee/d/brooklyn-brownstone-full-of/6917668914.html,98.0,park slope
6917638038,326 W 54th St,,4,89.0,2019-06-22 00:14,167.193930094898,"[40.7651, -73.9858]",True,True,"**no fee** oversized 4 bed x 2 bath in hells kitchen - reno - wd, dw",10019-5102,$6995,,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-no-fee-oversized-4-bed-2/6917638038.html,99.0,midtown west
6917641498,367 Maguire Ave,540ft2,1,60.0,2019-06-22 00:11,0.0,"[40.5352, -74.2116]",True,True,one-bed appartment,10309,$1300,6739461192,R,42.0,https://newyork.craigslist.org/stn/abo/d/staten-island-one-bed-appartment/6917641498.html,30.0,prince's bay
6903008137,242 E 236th St,900ft2,2,62.0,2019-06-22 00:10,187.1507356771293,"[40.897898, -73.868963]",True,True,woodlawn- brownstone building-heart of woodlawn,10470-2114,$1750,5436202400,R,79.0,https://newyork.craigslist.org/brx/abo/d/bronx-woodlawn-brownstone-building/6903008137.html,79.0,1/2 block to katonah avenue!!
6905346134,559 E 234th St,800ft2,1,56.0,2019-06-22 00:10,31.812810967847522,"[40.897364, -73.862917]",True,True,woodlawn- elevator building -stainless appliances,10470-2400,$1700,5436202400,L,87.0,https://newyork.craigslist.org/brx/abo/d/woodlawn-elevator-building-stainless/6905346134.html,83.0,1/2 block to  woodlawn metro-north train station-
6917642588,1386 Nostrand Ave,,1,67.0,2019-06-22 00:09,0.0,"[40.652642, -73.949769]",True,True,nice  1br in flatbush  in-unit washer/dryer,11226-2503,$2421,,R,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-nice-1br-in-flatbush-in-unit/6917642588.html,96.0,flatbush
6913769135,12003 Liberty Ave,,,58.0,2019-06-22 00:52,30.075313704155093,"[40.6868, -73.823]",False,True,one bedroom apartment,11419-2117,$1150,,L,81.0,https://newyork.craigslist.org/que/abo/d/south-richmond-hill-one-bedroom/6913769135.html,91.0,richmond hill/ ozone park
6917646893,2199 Newkirk Ave,,4,84.0,2019-06-22 00:50,0.0,"[40.63865, -73.956839]",True,True,massive godzilla sized 4bed 2bath with modern renovations,11226,$3200,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-massive-godzilla-sized-4bed/6917646893.html,92.0,flatbush
