,id,address,area,bedrooms,bikeScore,transitScore,walkScore,datetime,distanceToNearestIntersection,hasImage,hasMap,name,price,sideOfStreet,url,longitude,latitude,includesArea,advertisesNoFee,isRepost,postalCode,neighborhood
10,65240,Stuyvesant Ave,,4.0,70.0,94.0,93.0,2019-06-21 20:09:00+00:00,0.0217,True,True,*UNIQUE DEAL*4BR 2BATH DPLX*PVT YARD*NOFEE*W\D IN UNIT*,3800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-unique-deal4br-2bath-dplxpvt/6917294767.html,-73.9335,40.6904,False,False,False,11221,Sunset Park
11,65244,523 Evergreen Ave,,4.0,85.0,97.0,91.0,2019-06-21 20:07:00+00:00,0.0000,True,True,Ffull size kitchen all stainless with dishwasher,3300,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-ffull-size-kitchen-all/6917304006.html,-73.9155,40.6903,False,False,False,11221,Sunset Park
12,65246,972 Jefferson Ave,,2.0,76.0,97.0,95.0,2019-06-21 20:07:00+00:00,213.3112,True,True,"Newly renovated 2 Bedrm with hardwood floors, open concept living room",2800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-newly-renovated-2-bedrm-with/6917315927.html,-73.9188,40.6869,False,False,False,11221,Sunset Park
13,65256,1246 Broadway,850.0,2.0,77.0,95.0,97.0,2019-06-21 20:32:00+00:00,119.2055,True,True,***_____!!_NO FEE_!!___LARGE___Two__Bedroom__Apartment___Bushwick__***,2150,R,https://newyork.craigslist.org/brk/nfb/d/brooklyn-no/6917403995.html,-73.9254,40.6914,True,True,True,11221,Sunset Park
14,65257,723 Putnam Ave,,4.0,66.0,96.0,91.0,2019-06-21 20:32:00+00:00,0.0000,True,True,This Apartment Boasts A Clean Homey Feel To It With Nice Living Space,3400,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-this-apartment-boasts-clean/6917305874.html,-73.9327,40.6860,False,False,False,11221,Sunset Park
15,65292,523 Evergreen Ave,,3.0,85.0,97.0,91.0,2019-06-21 21:32:00+00:00,0.0000,True,True,"No Fees, No Fuss, No Nonsense *** come view modern NO FEE 2 beds in BK",3000,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-no-fees-no-fuss-no-nonsense/6917346507.html,-73.9155,40.6903,False,True,False,11221,Sunset Park
16,65309,350 Jefferson Ave,,4.0,77.0,100.0,97.0,2019-06-21 21:53:00+00:00,0.0000,True,True,All rooms fit queen/full beds and have lots of sunlight,3299,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-all-rooms-fit-queen-full-beds/6917412293.html,-73.9440,40.6840,False,False,False,11221,Sunset Park
17,65325,49 Patchen Ave,,1.0,72.0,92.0,96.0,2019-06-21 21:47:00+00:00,37.1112,True,True,See and Sign! Final Rm avail in Modern Bedstuy Apt / J A C / No FEE,849,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-see-and-sign-final-rm-avail-in/6917391804.html,-73.9274,40.6907,False,True,False,11221,Sunset Park
18,65328,1024 Bushwick Ave,,3.0,81.0,97.0,95.0,2019-06-21 22:12:00+00:00,0.0000,True,True,Gorgeous gut renovated 3 BED with LAUNDRY IN UNIT,2537,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-gorgeous-gut-renovated-3-bed/6917407303.html,-73.9214,40.6914,False,False,False,11221,Sunset Park
19,65335,543 Knickerbocker Ave,,,89.0,100.0,96.0,2019-06-21 22:09:00+00:00,0.0000,True,True,AMAZING SPACIOUS BUSHWICK 2BR - No Fee!!,2450,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-amazing-spacious-bushwick-2br/6917421552.html,-73.9156,40.6973,False,True,False,11221,Sunset Park
20,65339,1173 Myrtle Ave,,2.0,81.0,97.0,97.0,2019-06-21 22:06:00+00:00,0.0000,True,True,Very Nice Deal for July 1 in Bushwick / Laundry in Unit,2495,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-very-nice-deal-for-july-1-in/6917448585.html,-73.9340,40.6971,False,False,False,11221,Sunset Park
21,65347,1391 Dekalb Ave,,2.0,95.0,99.0,99.0,2019-06-21 22:04:00+00:00,0.0000,True,True,Beautiful 2 BED with private yard + parking spot! Stunning kitchen wit,2599,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-2-bed-with-private/6914163363.html,-73.9238,40.6996,False,False,False,11221,Sunset Park
22,65354,49 Patchen Ave,,2.0,72.0,92.0,96.0,2019-06-21 22:29:00+00:00,37.1112,True,True,"NO FEE & 1 MO. Free - W&D in unit, Prime Bushwick, close to trains.",2700,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-no-fee-1-mo-free-wd-in-unit/6909967555.html,-73.9274,40.6907,False,True,False,11221,Sunset Park
23,65358,835 Dekalb Ave,,4.0,83.0,97.0,90.0,2019-06-21 22:29:00+00:00,0.0000,True,True,"sunny windows throughout, spacious bedrooms",3750,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-sunny-windows-throughout/6917410436.html,-73.9428,40.6924,False,False,False,11221,Sunset Park
24,65368,543 Knickerbocker Ave,,,89.0,100.0,96.0,2019-06-21 22:52:00+00:00,0.0000,True,True,Duplex Bushwick 2BR - No Fee!,2450,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-duplex-bushwick-2br-no-fee/6917420229.html,-73.9156,40.6973,False,True,False,11221,Sunset Park
25,65375,486 Quincy St,,4.0,77.0,99.0,91.0,2019-06-21 22:50:00+00:00,55.3935,True,True,TWO ENTIRE FLOORS - Massive space. two living rooms AND outdoor space,3395,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-two-entire-floors-massive/6917460702.html,-73.9414,40.6880,False,False,False,11221,Sunset Park
26,65379,648 Gates Ave,,2.0,75.0,98.0,91.0,2019-06-21 22:49:00+00:00,0.0000,True,True,State of the art building! almost brand new building,2500,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-state-of-the-art-building/6917422238.html,-73.9390,40.6876,False,False,False,11221,Sunset Park
27,65380,294 Malcolm X Blvd,,2.0,66.0,97.0,93.0,2019-06-21 22:47:00+00:00,2.1085,True,True,Completely gut renovated building in Stuyvesant Heights,2500,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-completely-gut-renovated/6917462169.html,-73.9295,40.6849,False,False,False,11221,Sunset Park
28,65381,543 Knickerbocker Ave,,,89.0,100.0,96.0,2019-06-21 22:47:00+00:00,0.0000,True,True,AMAZING DUPLEX 2BR - NO FEE!,2450,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-amazing-duplex-2br-no-fee/6917418976.html,-73.9156,40.6973,False,True,False,11221,Sunset Park
29,65393,790 Lexington Ave,,3.0,72.0,,96.0,2019-06-21 23:09:00+00:00,0.0000,True,True,"Big bedroom, tons of closet space",3115,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-big-bedroom-tons-of-closet/6917432450.html,-73.9275,40.6904,False,False,False,11221,Sunset Park
