,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
469,33108,Henry Hudson Pkwy N,975.0,1.0,35.0,,68.0,2019-07-02 09:33:00+00:00,NaN,True,True,Large 1 bed - Prime Riverdale - 1800,1800,R,https://newyork.craigslist.org/brx/fee/d/new-york-city-large-1-bed-prime/6925020799.html,40.8790,-73.9203,True,False,True,10463,Kingsbridge and Riverdale,Bronx
473,33233,953 E 232nd St,900.0,1.0,70.0,,87.0,2019-07-02 11:25:00+00:00,140.6985,False,True,$1500 / 1br - 900ft2 - 1 bedroom all utilites included (not basement),1500,L,https://newyork.craigslist.org/brx/abo/d/bronx-br-900ft2-1-bedroom-all-utilites/6925086017.html,40.8904,-73.8503,True,False,True,10466,Northeast Bronx,Bronx
477,33310,953 E 232nd St,900.0,1.0,70.0,,87.0,2019-07-02 12:16:00+00:00,140.6985,True,True,KING SIZED 1 BEDROOM ** MUST SEE**,1500,L,https://newyork.craigslist.org/brx/abo/d/bronx-king-sized-1-bedroom-must-see/6925096955.html,40.8904,-73.8503,True,False,True,10466,Northeast Bronx,Bronx
493,33570,3950 Sedgwick Ave,1100.0,3.0,85.0,,85.0,2019-07-02 16:18:00+00:00,13.6759,True,True,"Confortable, Three (3) Bedroom Two (2) Bath PVT House On Saxon Ave",2500,R,https://newyork.craigslist.org/brx/abo/d/bronx-confortable-three-3-bedroom-two-2/6925321674.html,40.8825,-73.8904,True,False,True,10463,Kingsbridge and Riverdale,Bronx
497,33802,3095 Kingsbridge Ave,1100.0,3.0,68.0,92.0,98.0,2019-07-02 20:27:00+00:00,11.5590,True,True,"Comfortable, Three (3) Bedroom Two (2) Bath PVT House On Saxon Avenue",2500,L,https://newyork.craigslist.org/brx/abo/d/bronx-comfortable-three-3-bedroom-two-2/6925486961.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
507,34248,5254 Post Rd,1500.0,3.0,60.0,,65.0,2019-07-03 13:35:00+00:00,25.1105,True,True,DUPLEX__3 FULL BATHROOMS__KING SIZE__PS 81 Zone_Near Transit!,3200,R,https://newyork.craigslist.org/brx/fee/d/bronx-duplex3-full-bathroomsking-sizeps/6925983325.html,40.8987,-73.8982,True,False,True,10471,Kingsbridge and Riverdale,Bronx
515,34330,Henry Hudson Pkwy N,985.0,1.0,37.0,,76.0,2019-07-03 14:19:00+00:00,NaN,True,True,Brand new Kitchen - Large 1 bed - Riverdale - 1800,1800,R,https://newyork.craigslist.org/brx/fee/d/bronx-brand-new-kitchen-large-1-bed/6926025040.html,40.8802,-73.9184,True,False,True,10463,Kingsbridge and Riverdale,Bronx
517,34362,1940 Webster Ave,1500.0,2.0,85.0,,96.0,2019-07-03 15:22:00+00:00,54.0057,True,True,No Credit No Papers? to demonstrate Financial confirmation I can help,1400,L,https://newyork.craigslist.org/brx/abo/d/bronx-no-credit-no-papers-to/6926063751.html,40.8486,-73.8999,True,False,True,10457,Central Bronx,Bronx
523,34408,828A E 223rd St,950.0,2.0,84.0,,89.0,2019-07-03 16:31:00+00:00,121.0654,True,True,Brand new Huge 2 Br apartment in private house!,1900,R,https://newyork.craigslist.org/brx/abo/d/bronx-brand-new-huge-2-br-apartment-in/6926066594.html,40.8851,-73.8573,True,False,True,10466,Northeast Bronx,Bronx
527,34518,2828 Yates Ave,900.0,2.0,70.0,,87.0,2019-07-03 18:14:00+00:00,0.1677,True,True,Beautiful 2 BR In Pelham Gardens,1750,R,https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-2-br-in-pelham-gardens/6926165437.html,40.8677,-73.8547,True,False,True,10469,Northeast Bronx,Bronx
533,34628,227 Naples Ter,985.0,1.0,63.0,95.0,98.0,2019-07-03 20:03:00+00:00,1.5135,True,True,Large 1 bed - Kingsbridge/South Riverdale - 1595,1595,L,https://newyork.craigslist.org/brx/fee/d/bronx-large-1-bed-kingsbridge-south/6926271821.html,40.8799,-73.9053,True,False,True,10463,Kingsbridge and Riverdale,Bronx
551,34851,825 E 223rd St,950.0,2.0,84.0,87.0,89.0,2019-07-04 01:59:00+00:00,127.0093,True,True,Huge 2 br in private house !,1900,L,https://newyork.craigslist.org/brx/abo/d/bronx-huge-2-br-in-private-house/6926371731.html,40.8852,-73.8573,True,False,True,10466,Northeast Bronx,Bronx
553,34916,Bronx River Pkwy N,885.0,1.0,72.0,,87.0,2019-07-04 10:41:00+00:00,NaN,True,True,Large 1 bedroom new kitchen and bath.Laundry,1575,R,https://newyork.craigslist.org/brx/abo/d/bronx-large-1-bedroom-new-kitchen-and/6926442798.html,40.8737,-73.8712,True,False,True,10467,Bronx Park and Fordham,Bronx
557,34925,836A E 223rd St,1000.0,2.0,84.0,,89.0,2019-07-04 10:32:00+00:00,141.8829,True,True,Brand new 2 bedroom apartment in private house,1900,R,https://newyork.craigslist.org/brx/abo/d/bronx-brand-new-2-bedroom-apartment-in/6926437100.html,40.8851,-73.8571,True,False,True,10466,Northeast Bronx,Bronx
558,34956,Bronx River Pkwy S,900.0,1.0,72.0,,91.0,2019-07-04 11:34:00+00:00,NaN,False,True,Large 1 Bedroom / Morris Park area,1400,R,https://newyork.craigslist.org/brx/fee/d/bronx-large-1-bedroom-morris-park-area/6926533941.html,40.8400,-73.8729,True,False,True,10460,Central Bronx,Bronx
562,35036,3095 Kingsbridge Ave,1100.0,3.0,68.0,,98.0,2019-07-04 12:04:00+00:00,11.5590,True,True,"Cozy, Three (3) Bedroom Two (2) Bath PVT House On Saxon Avenue",2500,L,https://newyork.craigslist.org/brx/abo/d/bronx-cozy-three-3-bedroom-two-2-bath/6926509951.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
563,35045,3095 Kingsbridge Ave,1200.0,3.0,68.0,,98.0,2019-07-04 13:43:00+00:00,11.5590,False,True,"Den, Large terrace, in  Riverdale",2595,L,https://newyork.craigslist.org/brx/abo/d/den-large-terrace-in-riverdale/6926614089.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
565,35113,Henry Hudson Pkwy S,1000.0,2.0,37.0,,63.0,2019-07-04 14:09:00+00:00,NaN,True,True,MUST SEE BEAUTIFUL RENOVATED SUNNY 2 BEDROOM,2245,R,https://newyork.craigslist.org/brx/abo/d/bronx-must-see-beautiful-renovated/6926612198.html,40.9011,-73.9053,True,False,True,10471,Kingsbridge and Riverdale,Bronx
567,35198,Henry Hudson Pkwy S,600.0,1.0,37.0,,63.0,2019-07-04 16:12:00+00:00,NaN,True,True,"1,2,3 and 4 bedroom apartments Available",1500,R,https://newyork.craigslist.org/brx/fee/d/bronx-123-and-4-bedroom-apartments/6926710083.html,40.9011,-73.9053,True,False,True,10471,Kingsbridge and Riverdale,Bronx
581,35472,1449 Olmstead Ave,804.0,1.0,69.0,90.0,98.0,2019-07-04 21:59:00+00:00,37.5348,True,True,Really Large 1 bedroom available now - View Friday 7/5,1575,L,https://newyork.craigslist.org/brx/abo/d/bronx-really-large-1-bedroom-available/6926818728.html,40.8357,-73.8552,True,False,True,10462,Southeast Bronx,Bronx
584,35588,281 W 230th St,942.0,2.0,69.0,,95.0,2019-07-05 09:34:00+00:00,0.1807,True,True,Modern Luxe - 2 bed/2 bath - Riverdale,2795,R,https://newyork.craigslist.org/brx/fee/d/bronx-modern-luxe-2-bed-2-bath-riverdale/6926981218.html,40.8790,-73.9090,True,False,True,10463,Kingsbridge and Riverdale,Bronx
